Protein IDs	Gene names	Ensembl ID	TPM.T1.BR1	TPM.T1.BR2	TPM.T1.BR3	TPM.T1.BR4	TPM.T2.BR1	TPM.T2.BR2	TPM.T2.BR3	TPM.T2.BR4	TPM.MZ.BR1	TPM.MZ.BR2	TPM.MZ.BR3	TPM.MZ.BR4	TPM.FoB.BR1	TPM.FoB.BR2	TPM.FoB.BR3	TPM.FoB.BR4	Copy.number.T1.BR1	Copy.number.T1.BR2	Copy.number.T1.BR3	Copy.number.T1.BR4	Copy.number.T2.BR1	Copy.number.T2.BR2	Copy.number.T2.BR3	Copy.number.T2.BR4	Copy.number.MZ.BR1	Copy.number.MZ.BR2	Copy.number.MZ.BR3	Copy.number.MZ.BR4	Copy.number.FoB.BR1	Copy.number.FoB.BR2	Copy.number.FoB.BR3	Copy.number.FoB.BR4
Q6PAC3	Dcaf13	ENSMUSG00000022300	64.072813	71.826929	61.538457	66.163087	84.469156	84.944231	68.530473	80.355226	78.200792	69.86136	69.17579	78.286516	84.542726	83.301614	73.555765	87.219041	1749.63	1564.99	3059.84	7505.14	2822.3	3355.13	11023	6502.02	20892	11359	46056.4	24835.8	4954.41	1434.78	13964.9	10617.6
Q3TUL7-3	Dcaf17	ENSMUSG00000041966	23.061271	18.829876	18.02683	21.886062	35.978197	30.969909	27.915426	38.975031	24.300586	34.801191	31.046594	43.007181	37.914526	32.878439	23.22505	29.165275	0	0	0	0	0	0	0	0	0	0	859.088	236.586	0	0	0	0
A0A1Y7VNZ0	Dcaf4	ENSMUSG00000021222	21.904853	26.428739	24.677019	27.218567	28.402872	28.519083	28.424106	26.228811	27.009199	23.004705	25.331085	22.331249	24.746193	26.41893	25.893922	24.3229	0	0	0	112.479	0	0	0	60.4826	0	0	0	280.129	0	0	0	60.3701
Q80T85	Dcaf5	ENSMUSG00000049106	25.372108	28.852275	28.802972	31.670045	31.183403	33.652517	32.28396	34.855775	33.46039	36.534429	38.752443	33.687738	38.642248	32.64808	39.276868	32.658285	1402.44	205.305	1737.63	3908.27	1654.93	310.265	1809.84	1715.28	2021.2	772.99	5094.84	3469.03	312.118	163.781	1265.51	2342.89
Q9DC22	Dcaf6	ENSMUSG00000026571	6.942585	8.068368	9.399908	7.886809	6.711015	6.506132	8.134953	6.011857	6.757829	8.107333	8.39138	6.820821	4.770404	6.558413	6.304107	5.435941	0	0	0	0	0	0	0	76.5639	0	0	0	0	0	0	0	0
P61963	Dcaf7	ENSMUSG00000049354	60.745489	72.438661	57.308401	73.881166	73.019991	76.944971	72.717561	79.730539	95.205865	83.726656	87.788667	87.192499	82.182932	64.149088	72.377298	70.528055	8247.26	5948.48	10444.7	15811.3	9646.06	10134.8	13936.8	11451.9	13448.4	9174.7	22095.8	16512.2	9054.47	3809.88	16486.6	8970.86
Q8N7N5	Dcaf8	ENSMUSG00000026554	118.151971	136.738077	134.481439	131.834619	147.882089	150.901071	150.087244	162.304025	144.839655	152.394586	160.120309	144.797678	135.069788	141.374124	164.115656	123.381601	7963.49	4522.51	10094.2	13963.6	7781.21	4364.48	12424	10336.4	15735.3	5070.65	26497	11611.3	3892.05	1065.58	13542.2	6936.75
Q8BHC4	Dcakd	ENSMUSG00000020935	14.582157	19.388067	13.380592	20.328027	17.520973	20.785722	16.264936	18.746626	18.025894	19.824884	21.296009	20.666862	18.055967	18.35679	16.515159	16.238065	6456.24	4067.38	15366.6	16836.4	4064.86	5263.22	8748.58	8243.72	2218.01	0	3376.84	2311.14	517.732	0	2392.06	2012.42
P43346	Dck	ENSMUSG00000029366	51.48224	58.281606	48.514677	54.907442	52.965055	52.896597	46.263345	47.158567	34.856573	30.880716	28.312761	32.993196	49.459859	47.662527	47.700479	47.085725	598.495	2447.94	6406.55	9723.14	6436.18	3612.02	8650.72	5921.63	11780.9	5320.98	17162.5	1136.02	4627.15	2550.68	10330.4	6436.51
Q6PGN3-2	Dclk2	ENSMUSG00000028078	11.536169	17.000826	17.071975	14.481546	31.240512	25.283077	33.174894	32.42254	12.260398	16.294029	14.879223	11.439486	41.138471	36.005109	46.370756	36.832029	310.393	0	0	0	70.8177	53.1833	0	0	0	832.692	1138.99	0	1036.8	227.023	1311.65	0
Q8K4J0	Dclre1c	ENSMUSG00000026648	33.166525	34.417211	37.912119	37.513139	29.704645	29.76082	36.313406	32.166917	35.109537	40.243063	55.108099	41.933679	29.27061	25.228794	27.31129	22.119318	234.444	0	65.4747	54.0523	0	0	0	0	0	0	0	0	0	272.876	0	0
Q91YD3	Dcp1a	ENSMUSG00000021962	34.658289	41.132513	40.392595	42.310796	46.615114	49.434595	52.244775	48.725988	35.411813	43.44444	45.090128	42.964223	49.914507	42.522241	50.525076	38.270479	10933.6	8101.86	13236.4	23689.5	9803.64	9563.83	19052.4	14936.8	17528.2	8025.55	23020.4	13425.7	8209.64	5092.94	21620.1	16202.1
Q3U564	Dcp1b	ENSMUSG00000041477	13.980856	16.112747	16.150737	19.374548	18.78618	19.529483	17.963413	19.127315	20.771825	16.267755	20.385383	15.984246	17.531948	17.53943	14.491908	14.214747	785.937	423.85	730.488	3759.57	448.256	713.733	1728.75	1320.6	1434.9	1065.44	958.769	1443.16	784.466	196.722	1390.56	2556.03
Q9CYC6	Dcp2	ENSMUSG00000024472	30.668756	28.359193	30.489944	30.135702	33.009885	27.434757	24.671846	27.344123	22.602941	33.271375	26.661924	32.471014	21.043005	22.751964	25.129221	26.980737	3177.14	1439.11	2112.61	5213.86	2445.11	2101.87	1669.89	2607.58	3819.87	1002.52	3590.89	2001.1	1441	451.015	1992.76	1684.13
Q9DAR7	Dcps	ENSMUSG00000032040	60.675813	71.84305	59.106927	57.851141	69.823808	70.652742	67.946603	66.600366	66.946268	61.194227	56.049501	60.99912	68.724359	68.511484	57.952058	60.440797	85423.9	90175.3	114539	177438	136437	166436	172411	194792	591659	301042	586374	492035	212314	192282	342258	274271
O08788-2	Dctn1	ENSMUSG00000031865	55.039854	66.706232	64.383997	65.211946	61.913782	60.254682	69.943323	64.488359	60.694788	57.401407	62.007337	50.929033	62.909696	63.312524	69.321184	60.27205	15832.7	10789.5	15357.7	29591	15668.3	15233.7	24424.4	19698.6	34126.3	16265.2	43223.3	30045.8	16713.7	10167.1	30705.3	22827.8
Q99KJ8	Dctn2	ENSMUSG00000025410	89.711526	99.663187	96.449579	102.301866	111.421312	116.883005	112.67579	107.457224	105.142091	101.580232	100.894838	91.712167	103.553072	106.324091	108.394937	103.464708	42611.3	32768.4	53296.4	81689.9	51803.6	48577.1	59563.4	61556.7	117532	63201.9	124161	93457.3	58535	38746.6	88232	70880.3
Q9Z0Y1	Dctn3	ENSMUSG00000028447	87.32168	97.479784	78.326341	77.23636	94.429803	87.581506	77.59736	82.699007	75.031145	81.334283	73.084306	71.130067	83.109438	85.155855	81.882173	88.943498	18090	9807.71	28420.1	53466.8	17622.2	18064.6	25284.8	31637.7	34798.7	23596.9	40394.3	50413.6	15934.6	6051.37	27209	39150.8
Q8CBY8-2	Dctn4	ENSMUSG00000024603	22.929155	29.215372	30.788782	29.763733	33.131967	32.964967	37.44037	30.781137	26.867881	29.500534	32.608472	30.145195	33.364297	29.471145	37.219877	33.296415	7923.18	3842.85	7103.89	17314.5	9027.46	7793.91	12144.4	11123.4	22152.3	8562.65	21883.8	20392.6	11133.7	6815.72	18920.5	9325.95
Q9QZB9	Dctn5	ENSMUSG00000030868	113.866769	144.516351	106.511736	123.533624	141.768716	129.538797	133.628687	128.236017	116.396082	128.181436	137.290231	134.760553	111.051256	114.052972	114.125452	122.683466	3956.27	5201.39	4210.22	9490.87	2748.79	6315.31	10231.7	7990.89	14372.8	5912.9	8997.54	7655.01	3408.76	2213.26	10440.3	10229.8
Q9WUB4	Dctn6	ENSMUSG00000031516	63.629831	61.083082	71.200067	67.477144	66.865923	68.187784	66.014551	71.607339	71.054651	64.704942	67.711473	77.491655	57.202242	64.016771	59.773874	62.505735	4560.81	4307.04	5768.18	14178.1	6133.27	6105.63	6167.83	4699.98	12637.7	8066.8	22172.5	10197.6	7340.02	2558.72	14611.4	7282.65
Q9QY93	Dctpp1	ENSMUSG00000042462	24.090902	30.608898	25.506645	27.820037	31.049631	33.614992	34.093488	34.187543	27.393722	23.497282	28.489782	22.55015	19.988313	20.488163	27.576763	24.764003	0	0	0	0	0	0	0	0	0	0	763.757	0	0	0	0	0
Q9QZ73	Dcun1d1	ENSMUSG00000027708	27.06909	35.083036	27.414194	35.951189	36.322332	41.076723	30.824119	31.725751	33.082468	32.00119	34.34221	31.915849	27.925911	34.362573	34.048223	27.029199	21111.7	18988.3	15343.4	40677.2	26648	26488.6	34866.8	22804	72445.2	26265.6	76980.4	37969.9	19826	13345.7	46527.1	21707.2
